Artist,Album,Year,Song,Billboard Peak,Weeks on Hot 100,Spotify Explicit Tag?
Demi Lovato,Don't Forget,2008,La La Land,52,8,
Demi Lovato,Don't Forget,2008,Get Back,43,6,
Demi Lovato,Don't Forget,2008,Trainwreck,,,
Demi Lovato,Don't Forget,2008,Party,,,
Demi Lovato,Don't Forget,2008,On the Line,100,1,
Demi Lovato,Don't Forget,2008,Don't Forget,41,9,
Demi Lovato,Don't Forget,2008,Gonna Get Caught,,,
Demi Lovato,Don't Forget,2008,Two Worlds Collide,,,
Demi Lovato,Don't Forget,2008,The Middle,,,
Demi Lovato,Don't Forget,2008,Until You're Mine,,,
Demi Lovato,Don't Forget,2008,Believe in Me ,,,
Demi Lovato,Here We Go Again,2009,Here we go again,15,9,
Demi Lovato,Here We Go Again,2009,Solo,58,13,
Demi Lovato,Here We Go Again,2009,U Got Nothin' On Me,,,
Demi Lovato,Here We Go Again,2009,Falling Over Me,,,
Demi Lovato,Here We Go Again,2009,Quiet,,,
Demi Lovato,Here We Go Again,2009,Catch Me ,89,1,
Demi Lovato,Here We Go Again,2009,Every Time You Lie,,,
Demi Lovato,Here We Go Again,2009,Got Dynamite,,,
Demi Lovato,Here We Go Again,2009,Stop the World ,,,
Demi Lovato,Here We Go Again,2009,World of Chances,,,
Demi Lovato,Here We Go Again,2009,Remember December,,,
Demi Lovato,Here We Go Again,2009,Everything You're Not,,,
Demi Lovato,Here We Go Again,2009,Gift of a Friend,,,
Demi Lovato,Here We Go Again,2009,So Far So Great- Theme Song to Sonny with a Chance,,,
Demi Lovato,Unbroken ,2011,All Night Long,,,
Demi Lovato,Unbroken ,2011,Who's That Boy,,,
Demi Lovato,Unbroken ,2011,You're My Only Shorty,,,
Demi Lovato,Unbroken ,2011,Together,,,
Demi Lovato,Unbroken ,2011,Lightweight,,,
Demi Lovato,Unbroken ,2011,Unbroken,98,1,
Demi Lovato,Unbroken ,2011,Fix a Heart,69,1,
Demi Lovato,Unbroken ,2011,Hold Up,,,
Demi Lovato,Unbroken ,2011,Mistake,,,
Demi Lovato,Unbroken ,2011,Give Your Heart a Break,16,32,
Demi Lovato,Unbroken ,2011,Skyscraper,10,15,
Demi Lovato,Unbroken ,2011,In Real Life,,,
Demi Lovato,Unbroken ,2011,My Love Is Like a Star,,,
Demi Lovato,Unbroken ,2011,For the Love of a Daughter,,,
Demi Lovato,Unbroken ,2011,Skyscraper- Wizz Dumb Remix,,,
Demi Lovato,HOLY FVCK,2022,FREAK (fear. YUNGBLUD),,,
Demi Lovato,HOLY FVCK,2022,SKIN OF MY TEETH,,,E
Demi Lovato,HOLY FVCK,2022,SUBSTANCE,,,E
Demi Lovato,HOLY FVCK,2022,EAT ME (feat. Royal & the Serpent),,,E
Demi Lovato,HOLY FVCK,2022,HOLY FVCK,,,E
Demi Lovato,HOLY FVCK,2022,"""29""",96,1,E
Demi Lovato,HOLY FVCK,2022,HAPPY ENDING,,,
Demi Lovato,HOLY FVCK,2022,HEAVEN,,,
Demi Lovato,HOLY FVCK,2022,CITY OF ANGELS,,,
Demi Lovato,HOLY FVCK,2022,BONES,,,E
Demi Lovato,HOLY FVCK,2022,WASTED,,,
Demi Lovato,HOLY FVCK,2022,COME TOGETHER,,,
Demi Lovato,HOLY FVCK,2022,DEAD FRIENDS,,,
